,零件号,日期,仓库,需求数量
749,6RD959801E,2017-06-27,1000-1,38
750,6RD959801E,2017-06-28,1000-1,1
751,6RD959801E,2017-06-29,1000-1,7
752,6RD959801E,2017-06-30,1000-1,7
753,6RD959801E,2017-07-02,1000-1,3
754,6RD959801E,2017-07-03,1000-1,10
755,6RD959801E,2017-07-04,1000-1,7
756,6RD959801E,2017-07-05,1000-1,17
757,6RD959801E,2017-07-06,1000-1,4
758,6RD959801E,2017-07-07,1000-1,5
759,6RD959801E,2017-07-10,1000-1,18
760,6RD959801E,2017-07-11,1000-1,15
761,6RD959801E,2017-07-12,1000-1,7
762,6RD959801E,2017-07-13,1000-1,27
763,6RD959801E,2017-07-14,1000-1,13
764,6RD959801E,2017-07-16,1000-1,1
765,6RD959801E,2017-07-17,1000-1,7
766,6RD959801E,2017-07-18,1000-1,9
767,6RD959801E,2017-07-19,1000-1,3
768,6RD959801E,2017-07-20,1000-1,3
769,6RD959801E,2017-07-21,1000-1,4
770,6RD959801E,2017-07-22,1000-1,1
771,6RD959801E,2017-07-23,1000-1,4
772,6RD959801E,2017-07-24,1000-1,15
773,6RD959801E,2017-07-25,1000-1,7
774,6RD959801E,2017-07-26,1000-1,16
775,6RD959801E,2017-07-27,1000-1,3
776,6RD959801E,2017-07-28,1000-1,4
777,6RD959801E,2017-07-29,1000-1,2
778,6RD959801E,2017-07-30,1000-1,6
779,6RD959801E,2017-07-31,1000-1,11
780,6RD959801E,2017-08-01,1000-1,2
781,6RD959801E,2017-08-02,1000-1,7
782,6RD959801E,2017-08-03,1000-1,18
783,6RD959801E,2017-08-04,1000-1,3
784,6RD959801E,2017-08-05,1000-1,1
785,6RD959801E,2017-08-06,1000-1,6
786,6RD959801E,2017-08-07,1000-1,62
787,6RD959801E,2017-08-08,1000-1,1
788,6RD959801E,2017-08-09,1000-1,4
789,6RD959801E,2017-08-10,1000-1,25
790,6RD959801E,2017-08-11,1000-1,3
791,6RD959801E,2017-08-12,1000-1,3
792,6RD959801E,2017-08-13,1000-1,4
793,6RD959801E,2017-08-14,1000-1,6
794,6RD959801E,2017-08-15,1000-1,4
795,6RD959801E,2017-08-16,1000-1,6
796,6RD959801E,2017-08-17,1000-1,3
797,6RD959801E,2017-08-18,1000-1,11
798,6RD959801E,2017-08-20,1000-1,4
799,6RD959801E,2017-08-21,1000-1,18
800,6RD959801E,2017-08-22,1000-1,9
801,6RD959801E,2017-08-23,1000-1,6
802,6RD959801E,2017-08-24,1000-1,57
803,6RD959801E,2017-08-27,1000-1,5
804,6RD959801E,2017-08-28,1000-1,18
805,6RD959801E,2017-08-29,1000-1,14
806,6RD959801E,2017-08-30,1000-1,4
807,6RD959801E,2017-08-31,1000-1,2
808,6RD959801E,2017-09-01,1000-1,41
809,6RD959801E,2017-09-02,1000-1,1
810,6RD959801E,2017-09-03,1000-1,2
811,6RD959801E,2017-09-04,1000-1,9
812,6RD959801E,2017-09-05,1000-1,4
813,6RD959801E,2017-09-06,1000-1,10
814,6RD959801E,2017-09-07,1000-1,43
815,6RD959801E,2017-09-08,1000-1,40
816,6RD959801E,2017-09-10,1000-1,1
817,6RD959801E,2017-09-11,1000-1,13
818,6RD959801E,2017-09-12,1000-1,5
819,6RD959801E,2017-09-13,1000-1,10
820,6RD959801E,2017-09-14,1000-1,2
821,6RD959801E,2017-09-15,1000-1,29
822,6RD959801E,2017-09-17,1000-1,2
823,6RD959801E,2017-09-18,1000-1,11
824,6RD959801E,2017-09-19,1000-1,4
825,6RD959801E,2017-09-20,1000-1,10
826,6RD959801E,2017-09-21,1000-1,2
827,6RD959801E,2017-09-22,1000-1,2
828,6RD959801E,2017-09-24,1000-1,6
829,6RD959801E,2017-09-25,1000-1,13
830,6RD959801E,2017-09-26,1000-1,9
831,6RD959801E,2017-09-27,1000-1,2
832,6RD959801E,2017-09-28,1000-1,5
833,6RD959801E,2017-09-29,1000-1,2
834,6RD959801E,2017-09-30,1000-1,1
835,6RD959801E,2017-10-06,1000-1,2
836,6RD959801E,2017-10-07,1000-1,1
837,6RD959801E,2017-10-08,1000-1,9
838,6RD959801E,2017-10-09,1000-1,126
839,6RD959801E,2017-10-10,1000-1,6
840,6RD959801E,2017-10-11,1000-1,7
841,6RD959801E,2017-10-12,1000-1,73
842,6RD959801E,2017-10-13,1000-1,4
843,6RD959801E,2017-10-14,1000-1,1
844,6RD959801E,2017-10-15,1000-1,5
845,6RD959801E,2017-10-16,1000-1,8
846,6RD959801E,2017-10-17,1000-1,13
847,6RD959801E,2017-10-18,1000-1,9
848,6RD959801E,2017-10-19,1000-1,5
849,6RD959801E,2017-10-20,1000-1,15
850,6RD959801E,2017-10-22,1000-1,3
851,6RD959801E,2017-10-23,1000-1,8
852,6RD959801E,2017-10-24,1000-1,19
853,6RD959801E,2017-10-25,1000-1,2
854,6RD959801E,2017-10-26,1000-1,1
855,6RD959801E,2017-10-27,1000-1,4
856,6RD959801E,2017-10-29,1000-1,1
857,6RD959801E,2017-10-30,1000-1,10
858,6RD959801E,2017-10-31,1000-1,16
859,6RD959801E,2017-11-01,1000-1,6
860,6RD959801E,2017-11-02,1000-1,4
861,6RD959801E,2017-11-03,1000-1,24
862,6RD959801E,2017-11-05,1000-1,2
863,6RD959801E,2017-11-06,1000-1,17
864,6RD959801E,2017-11-07,1000-1,8
865,6RD959801E,2017-11-08,1000-1,15
866,6RD959801E,2017-11-09,1000-1,14
867,6RD959801E,2017-11-10,1000-1,20
868,6RD959801E,2017-11-11,1000-1,1
869,6RD959801E,2017-11-12,1000-1,2
870,6RD959801E,2017-11-13,1000-1,10
871,6RD959801E,2017-11-14,1000-1,4
872,6RD959801E,2017-11-15,1000-1,6
873,6RD959801E,2017-11-16,1000-1,4
874,6RD959801E,2017-11-17,1000-1,4
875,6RD959801E,2017-11-19,1000-1,3
876,6RD959801E,2017-11-20,1000-1,10
877,6RD959801E,2017-11-21,1000-1,4
878,6RD959801E,2017-11-22,1000-1,7
879,6RD959801E,2017-11-23,1000-1,41
880,6RD959801E,2017-11-24,1000-1,2
881,6RD959801E,2017-11-26,1000-1,7
882,6RD959801E,2017-11-27,1000-1,48
883,6RD959801E,2017-11-28,1000-1,12
884,6RD959801E,2017-11-29,1000-1,11
885,6RD959801E,2017-11-30,1000-1,5
886,6RD959801E,2017-12-01,1000-1,8
887,6RD959801E,2017-12-03,1000-1,9
888,6RD959801E,2017-12-04,1000-1,20
889,6RD959801E,2017-12-05,1000-1,14
890,6RD959801E,2017-12-06,1000-1,9
891,6RD959801E,2017-12-07,1000-1,34
892,6RD959801E,2017-12-08,1000-1,10
893,6RD959801E,2017-12-09,1000-1,1
894,6RD959801E,2017-12-10,1000-1,9
895,6RD959801E,2017-12-11,1000-1,26
896,6RD959801E,2017-12-12,1000-1,15
897,6RD959801E,2017-12-13,1000-1,7
898,6RD959801E,2017-12-14,1000-1,37
899,6RD959801E,2017-12-15,1000-1,9
900,6RD959801E,2017-12-16,1000-1,4
901,6RD959801E,2017-12-17,1000-1,13
902,6RD959801E,2017-12-18,1000-1,26
903,6RD959801E,2017-12-19,1000-1,13
904,6RD959801E,2017-12-20,1000-1,12
905,6RD959801E,2017-12-21,1000-1,23
906,6RD959801E,2017-12-22,1000-1,4
907,6RD959801E,2017-12-24,1000-1,6
908,6RD959801E,2017-12-25,1000-1,81
909,6RD959801E,2017-12-26,1000-1,17
910,6RD959801E,2017-12-27,1000-1,9
911,6RD959801E,2017-12-28,1000-1,14
912,6RD959801E,2017-12-29,1000-1,12
913,6RD959801E,2018-01-01,1000-1,8
914,6RD959801E,2018-01-02,1000-1,34
915,6RD959801E,2018-01-03,1000-1,16
916,6RD959801E,2018-01-04,1000-1,15
917,6RD959801E,2018-01-05,1000-1,11
918,6RD959801E,2018-01-06,1000-1,1
919,6RD959801E,2018-01-07,1000-1,10
920,6RD959801E,2018-01-08,1000-1,20
921,6RD959801E,2018-01-09,1000-1,20
922,6RD959801E,2018-01-10,1000-1,10
923,6RD959801E,2018-01-11,1000-1,15
924,6RD959801E,2018-01-12,1000-1,8
925,6RD959801E,2018-01-13,1000-1,3
926,6RD959801E,2018-01-14,1000-1,13
927,6RD959801E,2018-01-15,1000-1,72
928,6RD959801E,2018-01-16,1000-1,39
929,6RD959801E,2018-01-17,1000-1,21
930,6RD959801E,2018-01-18,1000-1,22
931,6RD959801E,2018-01-19,1000-1,22
932,6RD959801E,2018-01-21,1000-1,10
933,6RD959801E,2018-01-22,1000-1,41
934,6RD959801E,2018-01-23,1000-1,31
935,6RD959801E,2018-01-24,1000-1,23
936,6RD959801E,2018-01-25,1000-1,32
937,6RD959801E,2018-01-26,1000-1,17
938,6RD959801E,2018-01-29,1000-1,54
939,6RD959801E,2018-01-30,1000-1,42
940,6RD959801E,2018-01-31,1000-1,20
941,6RD959801E,2018-02-01,1000-1,20
942,6RD959801E,2018-02-02,1000-1,15
943,6RD959801E,2018-02-04,1000-1,12
944,6RD959801E,2018-02-05,1000-1,40
945,6RD959801E,2018-02-06,1000-1,25
946,6RD959801E,2018-02-07,1000-1,14
947,6RD959801E,2018-02-08,1000-1,20
948,6RD959801E,2018-02-09,1000-1,17
949,6RD959801E,2018-02-10,1000-1,5
950,6RD959801E,2018-02-11,1000-1,12
951,6RD959801E,2018-02-12,1000-1,14
952,6RD959801E,2018-02-13,1000-1,3
953,6RD959801E,2018-02-14,1000-1,5
954,6RD959801E,2018-02-21,1000-1,2
955,6RD959801E,2018-02-22,1000-1,32
956,6RD959801E,2018-02-23,1000-1,29
957,6RD959801E,2018-02-24,1000-1,16
958,6RD959801E,2018-02-25,1000-1,8
